ReviewID,CustomerID,ProductID,ReviewText,ReviewDate,ReviewSentiment,SentimentClass
1,486,267,So impressed by the quality. This product truly delivers.,2024-05-12,1.0,Positive
2,810,246,I'm very happy with the performance. It does exactly what I need.,2024-03-07,0.625,Positive
3,855,291,I regret buying this. The quality is terrible and it stopped working within a week.,2023-11-15,-1.0,Negative
4,524,235,"It serves its purpose, but it's not anything extraordinary.",2024-05-27,0.3333333333333333,Positive
5,238,220,Very high-quality product. I would buy it again without hesitation.,2023-09-10,0.2,Positive
6,578,263,It's neither great nor terrible. It's just okay.,2024-04-14,0.10000000000000002,Positive
7,181,261,Everything about this product is great! It works as advertised and more.,2023-12-23,0.75,Positive
8,262,215,This is the worst product I've bought in a long time. It doesn't do what it's supposed to.,2023-12-16,-0.525,Negative
9,362,222,I've had nothing but problems with this product. It's not reliable.,2023-09-21,0.0,Neutral
10,563,204,Perfect product for my needs! I can't imagine using anything else now.,2023-07-20,1.0,Positive
11,315,260,I'm extremely disappointed with this product. It doesn't work as promised.,2023-12-10,-0.75,Negative
12,651,276,"The product is awful. It doesn't work as it should, and it's frustrating to use.",2023-10-01,-0.7,Negative
13,863,220,It's an okay option if you're looking for something basic.,2024-01-23,0.25,Positive
14,648,233,"It's functional, but I'm not blown away by it.",2024-03-28,0.0,Neutral
15,682,291,"It's decent, though I expected a little more.",2024-01-12,0.09479166666666666,Positive
16,691,299,"I've used it for a week, and it functions as advertised, but it's not extraordinary.",2023-11-25,-0.16666666666666666,Negative
17,284,245,This is hands down the best purchase I've made this year.,2023-08-19,0.4222222222222222,Positive
18,828,249,I am extremely satisfied with my purchase. Worth every penny!,2023-09-20,0.4375,Positive
19,622,280,I couldn't be more pleased with this purchase. It works perfectly!,2023-10-27,0.6666666666666666,Positive
20,178,201,I've been using it for a while now and it's performing perfectly.,2024-01-25,1.0,Positive
21,506,288,Absolutely love this product! It's a game-changer.,2024-03-28,0.625,Positive
22,197,240,"It's a decent option, but not the best one out there.",2023-10-15,0.5833333333333334,Positive
23,677,258,The product is of poor quality. It doesn't last long and doesn't do what it should.,2023-08-25,-0.15,Negative
